,GAME_ID,ROUND,MY_CARDS,PROB1,OPPONENT_CARDS,PROB2,OPEN,ACTION
0,,,,,,,,
1,0,1,7d,52.39,4h,47.60,Y,
2,0,2,"7d,Ac",66.79,"4h,3d",33.21,Y,
3,0,3,"7d,Ac,9h",51.26,"4h,3d,*",X,N,
4,0,3,"7d,Ac,9h",70.69,"4h,3d,8c",29.31,Y,
5,0,4,"7d,Ac,9h,Qc",51.48,"4h,3d,*,*",X,N,
6,0,4,"7d,Ac,9h,Qc",78.91,"4h,3d,8c,Js",21.09,Y,
7,0,5,"7d,Ac,9h,Qc,6s",51.08,"4h,3d,*,*,*",X,N,
8,0,5,"7d,Ac,9h,Qc,6s",100.00,"4h,3d,8c,Js,Ah",0.00,Y,
9,1,1,Jc,54.39,5s,45.60,Y,
10,1,2,"Jc,As",67.35,"5s,Jd",32.62,Y,
11,1,3,"Jc,As,9s",51.97,"5s,Jd,*",X,N,
12,1,3,"Jc,As,9s",72.24,"5s,Jd,2h",27.75,Y,
13,1,4,"Jc,As,9s,8h",51.51,"5s,Jd,*,*",X,N,
14,1,4,"Jc,As,9s,8h",21.04,"5s,Jd,2h,2s",78.96,Y,
15,1,5,"Jc,As,9s,8h,6h",51.02,"5s,Jd,*,*,*",X,N,
16,1,5,"Jc,As,9s,8h,6h",0.00,"5s,Jd,2h,2s,5d",100.00,Y,
17,2,1,Jd,55.92,2h,44.07,Y,
18,2,2,"Jd,7d",56.62,"2h,7h",43.35,Y,
19,2,3,"Jd,7d,3d",49.39,"2h,7h,*",X,N,
20,2,3,"Jd,7d,3d",54.40,"2h,7h,Td",45.59,Y,
21,2,4,"Jd,7d,3d,Qs",50.03,"2h,7h,*,*",X,N,
22,2,4,"Jd,7d,3d,Qs",32.77,"2h,7h,Td,Kh",67.23,Y,
23,2,5,"Jd,7d,3d,Qs,3h",49.48,"2h,7h,*,*,*",X,N,
24,2,5,"Jd,7d,3d,Qs,3h",0.00,"2h,7h,Td,Kh,7c",100.00,Y,
