,ACTION,GAME_ID,MY_CARDS,OPEN,OPPONENT_CARDS,PROB1,PROB2,ROUND
0,,,,,,,,
1,,0,5d,Y,7c,48.02,51.97,1
2,,0,"5d,Ks",Y,"7c,2d",59.79,40.21,2
3,,0,"5d,Ks,5s",N,"7c,2d,*",50.08,X,3
4,,0,"5d,Ks,5s",Y,"7c,2d,Qh",78.72,21.28,3
5,,0,"5d,Ks,5s,2c",N,"7c,2d,*,*",49.05,X,4
6,,0,"5d,Ks,5s,2c",Y,"7c,2d,Qh,2s",85.78,14.22,4
7,,0,"5d,Ks,5s,2c,3h",N,"7c,2d,*,*,*",48.72,X,5
8,,0,"5d,Ks,5s,2c,3h",Y,"7c,2d,Qh,2s,Ac",100.00,0.00,5
9,,1,Qs,Y,9s,54.35,45.65,1
10,,1,"Qs,4d",Y,"9s,Th",51.31,48.69,2
11,,1,"Qs,4d,7s",N,"9s,Th,*",49.73,X,3
12,,1,"Qs,4d,7s",Y,"9s,Th,Td",12.20,87.80,3
13,,1,"Qs,4d,7s,6s",N,"9s,Th,*,*",49.54,X,4
14,,1,"Qs,4d,7s,6s",Y,"9s,Th,Td,Kd",5.55,94.45,4
15,,1,"Qs,4d,7s,6s,5d",N,"9s,Th,*,*,*",49.52,X,5
16,,1,"Qs,4d,7s,6s,5d",Y,"9s,Th,Td,Kd,3h",0.00,100.00,5
17,,2,4s,Y,As,35.64,64.36,1
18,,2,"4s,Qc",Y,"As,Ah",4.72,95.28,2
19,,2,"4s,Qc,5d",N,"As,Ah,*",49.57,X,3
20,,2,"4s,Qc,5d",Y,"As,Ah,3d",2.76,97.24,3
21,,2,"4s,Qc,5d,Js",N,"As,Ah,*,*",50.01,X,4
22,,2,"4s,Qc,5d,Js",Y,"As,Ah,3d,Td",0.00,100.00,4
23,,2,"4s,Qc,5d,Js,8h",N,"As,Ah,*,*,*",50.08,X,5
24,,2,"4s,Qc,5d,Js,8h",Y,"As,Ah,3d,Td,Jd",0.00,100.00,5
25,,3,6d,Y,3c,52.52,47.47,1
26,,3,"6d,Ad",Y,"3c,7c",64.65,35.35,2
27,,3,"6d,Ad,Ts",N,"3c,7c,*",51.44,X,3
28,,3,"6d,Ad,Ts",Y,"3c,7c,Ah",55.53,44.46,3
29,,3,"6d,Ad,Ts,Th",N,"3c,7c,*,*",51.32,X,4
30,,3,"6d,Ad,Ts,Th",Y,"3c,7c,Ah,4s",96.09,3.91,4
31,,3,"6d,Ad,Ts,Th,8d",N,"3c,7c,*,*,*",51.08,X,5
32,,3,"6d,Ad,Ts,Th,8d",Y,"3c,7c,Ah,4s,Td",100.00,0.00,5
33,,4,6c,Y,Js,45.92,54.07,1
34,,4,"6c,Kd",Y,"Js,9d",54.20,45.79,2
35,,4,"6c,Kd,5d",N,"Js,9d,*",50.20,X,3
36,,4,"6c,Kd,5d",Y,"Js,9d,7s",55.13,44.87,3
37,,4,"6c,Kd,5d,5h",N,"Js,9d,*,*",49.84,X,4
38,,4,"6c,Kd,5d,5h",Y,"Js,9d,7s,6h",78.96,21.04,4
39,,4,"6c,Kd,5d,5h,Th",N,"Js,9d,*,*,*",50.21,X,5
40,,4,"6c,Kd,5d,5h,Th",Y,"Js,9d,7s,6h,3h",100.00,0.00,5
